booking_id,user_id,shop_id,service_type,time_of_day,distance_km,rating_given
B00001,U0382,S072,Haircut,Weekend,11.7,4.2
B00002,U0277,S061,Manicure,Morning,2.8,3.7
B00003,U0885,S075,Spa,Afternoon,8.5,3.9
B00004,U0643,S002,Haircut,Weekend,7.4,3.2
B00005,U0099,S072,Haircut,Evening,2,3.8
B00006,U0825,S026,Haircut,Afternoon,5.8,3.3
B00007,U0727,S021,Haircut,Morning,11.9,4.6
B00008,U0421,S054,Haircut,Weekend,9.9,4
B00009,U0092,S053,Manicure,Morning,9.2,4.8
B00010,U0036,S052,Pedicure,Evening,0.8,4.1
B00011,U0238,S029,Manicure,Afternoon,4.6,2.7
B00012,U0068,S001,Manicure,Morning,2.4,3.2
B00013,U0035,S026,Manicure,Afternoon,13.5,3.2
B00014,U0884,S076,Coloring,Morning,14.2,4.2
B00015,U0639,S071,Pedicure,Weekend,9.1,2.5
B00016,U0630,S065,Spa,Weekend,10.5,4.1
B00017,U0572,S053,Manicure,Afternoon,9.4,3.5
B00018,U0016,S094,Coloring,Weekend,7.2,4.4
B00019,U0999,S049,Coloring,Weekend,14.3,3.5
B00020,U0843,S009,Manicure,Morning,1.6,3.4
B00021,U0664,S062,Pedicure,Weekend,9.5,3
B00022,U0472,S038,Spa,Weekend,2,3.2
B00023,U0059,S058,Spa,Morning,2.3,2.3
B00024,U0343,S089,Pedicure,Evening,0.7,3.9
B00025,U0039,S009,Pedicure,Weekend,5,4.3
B00026,U0237,S056,Haircut,Evening,4.6,3.5
B00027,U0626,S089,Haircut,Afternoon,9.1,3.2
B00028,U0902,S001,Spa,Morning,9.8,3.6
B00029,U0246,S078,Spa,Evening,4.6,4.9
B00030,U0081,S004,Spa,Weekend,5.9,3.8
B00031,U0998,S072,Haircut,Evening,3,3.9
B00032,U0223,S026,Haircut,Evening,2.2,4.3
B00033,U0122,S001,Spa,Weekend,10.7,4.2
B00034,U0541,S039,Spa,Afternoon,7.9,3.9
B00035,U0647,S041,Coloring,Evening,14,3.8
B00036,U0523,S039,Coloring,Weekend,3.4,3.5
B00037,U0458,S005,Coloring,Morning,6.5,4.2
